datetime_run,run_name,dataset_name,split,epoch,seed,decode_method_train,decode_method_eval,reward_fn,reward_clip_max,reward_clip_min,reward_base,reward_vm_multiplier,sts_threshold,contradiction_threshold,pp_letter_diff_threshold,pp_name,sts_name,nli_name,vm_name,orig_max_length,use_small_ds,batch_size_train,batch_size_eval,lr,acc_steps,label_flip-mean,label_flip-std,is_valid_pp-mean,is_valid_pp-std,is_adv_example-mean,is_adv_example-std,reward_pp-mean,reward_pp-std,vm_scores-mean,vm_scores-std,sts_scores-mean,sts_scores-std,pp_letter_diff-mean,pp_letter_diff-std,contradiction_scores-mean,contradiction_scores-std,acceptability_scores-mean,acceptability_scores-std,n_pp,any_adv_example_proportion,gen_params_train.do_sample,gen_params_train.temperature,gen_params_train.top_p,gen_params_eval.num_return_sequences,gen_params_eval.do_sample,gen_params_eval.num_beams,gen_params_eval.top_p,gen_params_eval.temperature,gen_params_eval.diversity_penalty,gen_params_eval.num_beam_groups
2022-06-08_101314,dummy-kYBrZsn7CxgZ2p6zygawVM,financial,train,0,421,sample,sample,reward_fn_contradiction_and_letter_diff,4,0,0,12,0.8,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,32,True,16,32,4e-05,2,0.0,0.0,0.6107170140783585,0.20816583834423402,0.0,0.0,0.00173029213511691,0.008354711429664027,0.00014637290207717752,0.0006969962200571539,0.9494865304326362,0.035647924540208646,4.335501220690296,4.7290041818226145,0.03171579743973408,0.04066286338187602,0.6272906818266205,0.08827735493977383,17.285714285714285,0.0,True,1.1,0.95,48,True,1,0.95,0.8,,
2022-06-08_101314,dummy-kYBrZsn7CxgZ2p6zygawVM,financial,valid,0,421,sample,sample,reward_fn_contradiction_and_letter_diff,4,0,0,12,0.8,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,32,True,16,32,4e-05,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8915130175077e-05,1.3566806202534936e-05,0.7833112157308139,0.09572647816819545,0.5,8.891569040388767,0.018767688530855454,0.010166079125453403,0.44547318896422017,0.1926807112157704,26.0,0.0,True,1.1,0.95,48,True,1,0.95,0.8,,
2022-06-08_101314,dummy-kYBrZsn7CxgZ2p6zygawVM,financial,test,0,421,sample,sample,reward_fn_contradiction_and_letter_diff,4,0,0,12,0.8,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,32,True,16,32,4e-05,2,0.0,0.0,0.30434782608695654,0.4704719688969647,0.0,0.0,3.116027168605638e-05,5.1208526446572453e-05,2.427982247394064e-05,3.099930002356742e-05,0.9343295952548152,0.043288188228996195,-0.8260869565217391,11.16264946520332,0.029453922387050545,0.02122047261076354,0.44333372038343677,0.07624494064105998,23.0,0.0,True,1.1,0.95,48,True,1,0.95,0.8,,
2022-06-08_101314,dummy-kYBrZsn7CxgZ2p6zygawVM,financial,train,1,421,sample,sample,reward_fn_contradiction_and_letter_diff,4,0,0,12,0.8,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,32,True,16,32,4e-05,2,0.0049261083743842365,0.02652790545386455,0.5941590429275159,0.20370548206223096,0.0,0.0,0.00022738791746655277,0.00023758652637347042,0.004943405178392924,0.026487955126771472,0.9490160261262862,0.04077455967574758,4.1465567069739775,5.439723504875387,0.03615653399972756,0.0378910003324598,0.6287582066919508,0.08404369357529749,16.571428571428573,0.0,True,1.1,0.95,48,True,1,0.95,0.8,,
2022-06-08_101314,dummy-kYBrZsn7CxgZ2p6zygawVM,financial,valid,1,421,sample,sample,reward_fn_contradiction_and_letter_diff,4,0,0,12,0.8,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,32,True,16,32,4e-05,2,0.0,0.0,0.03571428571428571,0.1889822365046136,0.0,0.0,3.5762786865234375e-07,1.8923888047203474e-06,-2.5161675044468472e-05,1.4741106117664848e-05,0.7785216016428811,0.07928497917413274,-2.3214285714285716,10.815125113327685,0.025431860354728997,0.03467045182344342,0.46104466755475315,0.21888424320498015,28.0,0.0,True,1.1,0.95,48,True,1,0.95,0.8,,
2022-06-08_101314,dummy-kYBrZsn7CxgZ2p6zygawVM,financial,train,2,421,sample,sample,reward_fn_contradiction_and_letter_diff,4,0,0,12,0.8,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,32,True,16,32,4e-05,2,0.005952380952380952,0.02916059217599021,0.5882622279681103,0.2338071835604114,0.0,0.0,0.00024138463260130338,0.00033655681447411116,0.00597362413093772,0.029179552983984856,0.9342760180952341,0.06468703954449875,5.486695960435456,5.852290259536354,0.044679441144827955,0.04147315270522249,0.6288591374578043,0.09607199949141139,17.428571428571427,0.0,True,1.1,0.95,48,True,1,0.95,0.8,,
2022-06-08_101314,dummy-kYBrZsn7CxgZ2p6zygawVM,financial,valid,2,421,sample,sample,reward_fn_contradiction_and_letter_diff,4,0,0,12,0.8,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,32,True,16,32,4e-05,2,0.0,0.0,0.038461538461538464,0.19611613513818402,0.0,0.0,0.0,0.0,-2.9320900256817156e-05,1.2721132932049983e-05,0.7830720291687892,0.07792491188371577,-0.6153846153846154,10.068075975386451,0.017474788285863515,0.008497542417261274,0.526952920624843,0.256094550936731,26.0,0.0,True,1.1,0.95,48,True,1,0.95,0.8,,
2022-06-08_101314,dummy-kYBrZsn7CxgZ2p6zygawVM,financial,train,3,421,sample,sample,reward_fn_contradiction_and_letter_diff,4,0,0,12,0.8,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,32,True,16,32,4e-05,2,0.0,0.0,0.5683073229291716,0.2452732579893143,0.0,0.0,0.00017506943172624276,0.00017838000852696728,2.0138726753442466e-05,3.124648891958123e-05,0.9434977036087263,0.043239473691211394,4.474049619847939,5.371484635950404,0.03614143016295327,0.033135964881562945,0.6371249204438154,0.08781245960770408,17.428571428571427,0.0,True,1.1,0.95,48,True,1,0.95,0.8,,
2022-06-08_101314,dummy-kYBrZsn7CxgZ2p6zygawVM,financial,valid,3,421,sample,sample,reward_fn_contradiction_and_letter_diff,4,0,0,12,0.8,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,32,True,16,32,4e-05,2,0.0,0.0,0.041666666666666664,0.2041241452319315,0.0,0.0,0.0,0.0,-2.502650022506714e-05,1.5472821442993874e-05,0.8036242400606474,0.0958554621460179,-0.875,14.383905559007081,0.02102647173645285,0.01131445632960205,0.4309602001061042,0.21975462276271204,24.0,0.0,True,1.1,0.95,48,True,1,0.95,0.8,,
2022-06-08_101314,dummy-kYBrZsn7CxgZ2p6zygawVM,financial,train,4,421,sample,sample,reward_fn_contradiction_and_letter_diff,4,0,0,12,0.8,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,32,True,16,32,4e-05,2,0.0,0.0,0.596468253968254,0.21234247253195962,0.0,0.0,0.00017433509105393868,0.00017697687947158767,1.9504817482692746e-05,2.6749352080255657e-05,0.9410174824301603,0.044762951291321317,4.663653127917834,5.468475352903325,0.04476804471891523,0.04428709040034804,0.636920980112288,0.09102275740467548,16.428571428571427,0.0,True,1.1,0.95,48,True,1,0.95,0.8,,
