datetime_run,run_name,dataset_name,split,epoch,seed,decode_method_train,decode_method_eval,reward_fn,reward_clip_max,reward_clip_min,reward_base,reward_vm_multiplier,sts_threshold,contradiction_threshold,pp_letter_diff_threshold,pp_name,sts_name,nli_name,vm_name,orig_max_length,use_small_ds,batch_size_train,batch_size_eval,lr,acc_steps,label_flip-mean,label_flip-std,is_valid_pp-mean,is_valid_pp-std,is_adv_example-mean,is_adv_example-std,reward_pp-mean,reward_pp-std,vm_scores-mean,vm_scores-std,sts_scores-mean,sts_scores-std,pp_letter_diff-mean,pp_letter_diff-std,contradiction_scores-mean,contradiction_scores-std,acceptability_scores-mean,acceptability_scores-std,any_adv_example_proportion,gen_params_train.min_length,gen_params_train.max_length,gen_params_train.do_sample,gen_params_train.temperature,gen_params_train.top_p,gen_params_train.length_penalty,gen_params_train.repetition_penalty,gen_params_eval.num_return_sequences,gen_params_eval.max_length,gen_params_eval.do_sample,gen_params_eval.num_beams,gen_params_eval.top_p,gen_params_eval.temperature,gen_params_eval.length_penalty,gen_params_eval.diversity_penalty,gen_params_eval.num_beam_groups
2022-05-25_144344,dummy-QggagREULFR7Gym83EAJHs,simple,train,0,420,sample,diverse_beam_search,reward_fn_contradiction_and_letter_diff,3.5,0,0,12,0.7,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,textattack/distilbert-base-uncased-rotten-tomatoes,32,False,4,4,4e-05,2,0.0,0.0,0.8125,0.396557769456266,0.0,0.0,0.23151607811450958,0.5409073951959951,-0.023288778960704803,0.08744139858443328,0.8523348122835159,0.13384692354733133,-2.6875,3.9630348423008246,0.02043882202997338,0.06163019695477179,0.7984700780361891,0.14767066756296673,0.0,3,48,True,1.3,0.98,1.0,,8,48,False,8,,,,1000.0,4
2022-05-25_144344,dummy-QggagREULFR7Gym83EAJHs,simple,valid,0,420,sample,diverse_beam_search,reward_fn_contradiction_and_letter_diff,3.5,0,0,12,0.7,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,textattack/distilbert-base-uncased-rotten-tomatoes,32,False,4,4,4e-05,2,0.09375,0.29614458108029906,0.8125,0.396557769456266,0.0,0.0,0.01878686249256134,0.0686573630736397,-0.008647192269563675,0.09917688394366052,0.8486876282840967,0.12354264889937064,-1.53125,3.6631061647450993,0.03104579010323505,0.13325822681084504,0.7886821097927168,0.22269935940699878,0.0,3,48,True,1.3,0.98,1.0,,8,48,False,8,,,,1000.0,4
2022-05-25_144344,dummy-QggagREULFR7Gym83EAJHs,simple,test,0,420,sample,diverse_beam_search,reward_fn_contradiction_and_letter_diff,3.5,0,0,12,0.7,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,textattack/distilbert-base-uncased-rotten-tomatoes,32,False,4,4,4e-05,2,0.0,0.0,0.9375,0.24593468841898236,0.0,0.0,0.005171589553356171,0.029254928341533256,-0.07766937464475632,0.07401930373961282,0.8745642732828856,0.08671407370455063,-0.03125,4.5115219876624,0.014257478702347726,0.0312624236359456,0.8338820971548557,0.10099090771533889,0.0,3,48,True,1.3,0.98,1.0,,8,48,False,8,,,,1000.0,4
2022-05-25_144344,dummy-QggagREULFR7Gym83EAJHs,simple,train,1,420,sample,diverse_beam_search,reward_fn_contradiction_and_letter_diff,3.5,0,0,12,0.7,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,textattack/distilbert-base-uncased-rotten-tomatoes,32,False,4,4,4e-05,2,0.0,0.0,0.8125,0.396557769456266,0.0,0.0,0.23151607811450958,0.5409073951959951,-0.023288778960704803,0.08744139858443328,0.8523348122835159,0.13384692354733133,-2.6875,3.9630348423008246,0.02043882202997338,0.06163019695477179,0.7984700780361891,0.14767066756296673,0.0,3,48,True,1.3,0.98,1.0,,8,48,False,8,,,,1000.0,4
2022-05-25_144344,dummy-QggagREULFR7Gym83EAJHs,simple,valid,1,420,sample,diverse_beam_search,reward_fn_contradiction_and_letter_diff,3.5,0,0,12,0.7,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,textattack/distilbert-base-uncased-rotten-tomatoes,32,False,4,4,4e-05,2,0.09375,0.29614458108029906,0.8125,0.396557769456266,0.0,0.0,0.01878686249256134,0.0686573630736397,-0.008647192269563675,0.09917688394366052,0.8486876282840967,0.12354264889937064,-1.53125,3.6631061647450993,0.03104579010323505,0.13325822681084504,0.7886821097927168,0.22269935940699878,0.0,3,48,True,1.3,0.98,1.0,,8,48,False,8,,,,1000.0,4
2022-05-25_144344,dummy-QggagREULFR7Gym83EAJHs,simple,train,2,420,sample,diverse_beam_search,reward_fn_contradiction_and_letter_diff,3.5,0,0,12,0.7,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,textattack/distilbert-base-uncased-rotten-tomatoes,32,False,4,4,4e-05,2,0.0,0.0,0.8125,0.396557769456266,0.0,0.0,0.23151607811450958,0.5409073951959951,-0.023288778960704803,0.08744139858443328,0.8523348122835159,0.13384692354733133,-2.6875,3.9630348423008246,0.02043882202997338,0.06163019695477179,0.7984700780361891,0.14767066756296673,0.0,3,48,True,1.3,0.98,1.0,,8,48,False,8,,,,1000.0,4
2022-05-25_144344,dummy-QggagREULFR7Gym83EAJHs,simple,valid,2,420,sample,diverse_beam_search,reward_fn_contradiction_and_letter_diff,3.5,0,0,12,0.7,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,textattack/distilbert-base-uncased-rotten-tomatoes,32,False,4,4,4e-05,2,0.09375,0.29614458108029906,0.8125,0.396557769456266,0.0,0.0,0.01878686249256134,0.0686573630736397,-0.008647192269563675,0.09917688394366052,0.8486876282840967,0.12354264889937064,-1.53125,3.6631061647450993,0.03104579010323505,0.13325822681084504,0.7886821097927168,0.22269935940699878,0.0,3,48,True,1.3,0.98,1.0,,8,48,False,8,,,,1000.0,4
2022-05-25_144344,dummy-QggagREULFR7Gym83EAJHs,simple,train,3,420,sample,diverse_beam_search,reward_fn_contradiction_and_letter_diff,3.5,0,0,12,0.7,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,textattack/distilbert-base-uncased-rotten-tomatoes,32,False,4,4,4e-05,2,0.0,0.0,0.8125,0.396557769456266,0.0,0.0,0.23151607811450958,0.5409073951959951,-0.023288778960704803,0.08744139858443328,0.8523348122835159,0.13384692354733133,-2.6875,3.9630348423008246,0.02043882202997338,0.06163019695477179,0.7984700780361891,0.14767066756296673,0.0,3,48,True,1.3,0.98,1.0,,8,48,False,8,,,,1000.0,4
2022-05-25_144344,dummy-QggagREULFR7Gym83EAJHs,simple,valid,3,420,sample,diverse_beam_search,reward_fn_contradiction_and_letter_diff,3.5,0,0,12,0.7,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,textattack/distilbert-base-uncased-rotten-tomatoes,32,False,4,4,4e-05,2,0.09375,0.29614458108029906,0.8125,0.396557769456266,0.0,0.0,0.01878686249256134,0.0686573630736397,-0.008647192269563675,0.09917688394366052,0.8486876282840967,0.12354264889937064,-1.53125,3.6631061647450993,0.03104579010323505,0.13325822681084504,0.7886821097927168,0.22269935940699878,0.0,3,48,True,1.3,0.98,1.0,,8,48,False,8,,,,1000.0,4
2022-05-25_144344,dummy-QggagREULFR7Gym83EAJHs,simple,train,4,420,sample,diverse_beam_search,reward_fn_contradiction_and_letter_diff,3.5,0,0,12,0.7,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,textattack/distilbert-base-uncased-rotten-tomatoes,32,False,4,4,4e-05,2,0.0,0.0,0.8125,0.396557769456266,0.0,0.0,0.23151607811450958,0.5409073951959951,-0.023288778960704803,0.08744139858443328,0.8523348122835159,0.13384692354733133,-2.6875,3.9630348423008246,0.02043882202997338,0.06163019695477179,0.7984700780361891,0.14767066756296673,0.0,3,48,True,1.3,0.98,1.0,,8,48,False,8,,,,1000.0,4
